id,name,created_at,updated_at
131,Scottsdale Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
132,South Mountain Community College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
133,Arizona Christian University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
134,Tucson College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
135,Universal Technical Institute of Arizona Inc,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
136,Western International University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
137,Empire Beauty School-NW Phoenix,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
138,Yavapai College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
139,University of Arkansas at Little Rock,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
140,University of Arkansas for Medical Sciences,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
141,ABC Beauty College Inc,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
142,Arkansas Baptist College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
143,Arkansas Beauty School,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
144,Arkansas Beauty College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
145,Lyon College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
146,Arkansas College of Barbering and Hair Design,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
147,Arthur's Beauty College Inc-Fort Smith,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
148,University of Arkansas,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
149,University of Arkansas at Pine Bluff,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
150,Arkansas State University-Beebe,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
151,Arkansas State University-Main Campus,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
152,Arkansas Tech University,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
153,University of Arkansas at Monticello,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
154,Arthur's Beauty College Inc-Jacksonville,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
155,Baptist Health Schools-Little Rock,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
156,Black River Technical College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
157,University of Central Arkansas,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
158,Central Baptist College,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
159,Cossatot Community College of the University of Arkansas,2024-01-17 19:04:25.591713+00,2024-01-17 19:04:25.591713+00
